"playerId","player","team","position","passAtt","passComp","passInc","passCompPct","passYds","passTds","passInt","rushAtt","rushYds","rushTds","fumbles","twoPts","regTds","pass300","pass350","pass400","returnTds","dataScrapeId","pass40","rush40","sacks","games","rec","recYds","recTds","returnYds","rush100","rush150","rush200","rec40","rec100","rec150","rec200"
2495825,"Owen Daniels","HOU","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,61,712,5,NA,NA,NA,NA,NA,NA,NA,NA
2495826,"Vernon Davis","SF","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,56,585,4,NA,NA,NA,NA,NA,NA,NA,NA
2495831,"Maurice Jones-Drew","JAC","RB",NA,NA,NA,NA,NA,NA,NA,176,914,11,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,47,415,2,NA,NA,NA,NA,NA,NA,NA,NA
2495835,"Anthony Fasano","MIA","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,35,345,3,NA,NA,NA,NA,NA,NA,NA,NA
2495843,"Derek Hagan","NYG","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,53,615,2,NA,NA,NA,NA,NA,NA,NA,NA
2495844,"Andre Hall","DEN","RB",NA,NA,NA,NA,NA,NA,NA,67,295,2,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,10,75,0,NA,NA,NA,NA,NA,NA,NA,NA
2495863,"Tarvaris Jackson","MIN","QB",252,149,NA,NA,1714,8,12,42,210,2,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2495867,"Greg Jennings","GB","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,69,1088,7,NA,NA,NA,NA,NA,NA,NA,NA
2495877,"Jeff King","CAR","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,32,350,2,NA,NA,NA,NA,NA,NA,NA,NA
2495888,"Marcedes Lewis","JAC","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,45,515,4,NA,NA,NA,NA,NA,NA,NA,NA
2495893,"Brandon Marshall","DEN","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,95,1315,9,NA,NA,NA,NA,NA,NA,NA,NA
